Year,PowerDensity,CapacityDensity,TurbineDensity,Province
2015,429.1626475,1.885467115,0.628489038,NS
2013,637.9195267,0.924641701,0.462320851,NS
2014,549.2923104,0.878588791,0.403500037,ON
2006,271.8155551,0.745473908,0.709975151,NS
2014,574.0084064,1.388418557,0.677277345,ON
2015,554.8651907,1.053370787,0.457987298,ON
2011,433.8127691,1.149731729,0.499883361,MB
2012,558.1713314,1.083963283,0.656947444,MB
2017,462.1463117,1.478010094,0.720980534,ON
2013,470.9678449,0.897940325,0.404282507,ON
2004,392.608114,3.946375718,1.770065579,AB
2001,554.0673311,1.005016123,1.522751702,SK
2015,551.4894022,0.709935186,0.319630649,ON
2010,523.7298287,1.987441673,1.065729593,AB
2010,544.1486526,1.104867449,0.480377152,ON
2015,373.9548437,2.970570808,1.264072684,QC
2009,496.795745,1.924228171,0.962114085,ON
1995,629.8105503,0.991735537,1.652892562,ON
2006,488.48177,0.943396226,1.048218029,NS
2014,381.366953,0.97394692,0.48697346,NS
2009,593.488284,1.679591346,1.017934149,ON
2014,356.7415498,1.654929577,0.704225352,QC
2014,503.8145852,2.368801156,1.155512759,QC
2016,610.6913994,0.953187884,0.529548824,ON
2016,350.3799182,0.61306223,0.308071473,NS
2002,426.1893552,0.176742881,0.280544256,AB
2012,378.6694775,1.555451859,0.622180744,ON
2011,470.9712981,0.777202073,0.518134715,NS
2015,482.5667346,0.714285714,0.446428571,NS
2019,587.6323288,1.953315753,0.976657877,SK
2015,454.5325977,1.29093199,0.629722922,ON
2014,385.2950092,0.837871806,0.418935903,NS
2011,469.0193868,1.145400825,0.715875516,AB
2009,325.5853251,2.304260202,1.001852262,ON
2010,528.9870729,1.051248357,1.314060447,ON
2008,456.9900394,2.617444175,0.872481392,NB
2010,422.1818722,1.098051974,0.366017325,NB
2018,648.5449541,0.208255363,0.108654972,NB
2011,397.4112764,2.017123134,1.344748756,NB
2018,450.2974144,0.783333333,0.333333333,NB
2009,988.6218164,2.781055115,0.927018372,NB
2008,902.8277107,1.160092807,0.386697602,PEI
2007,710.4197494,3.795066414,1.265022138,PEI
2009,746.9938104,2.540757993,0.846919331,PEI
2001,786.4900604,0.48004364,0.727338849,PEI
2004,786.4900604,2.626865672,3.980099502,PEI
2007,777.5201747,1.800163651,1.000090917,PEI
2009,751.5529645,2.893467777,1.607482098,PEI
2013,902.8277107,1.663893511,0.831946755,PEI
2007,879.8379557,1.588983051,0.529661017,PEI
2014,615.5498786,1.77085178,0.590283927,PEI
2008,832.3502461,3.478933127,1.159644376,NL
2009,1011.760565,2.575107296,0.858369099,NL
